Movie Name,Role,Name
As Good as it Gets,Screenwriter,James L. Brooks
As Good as it Gets,Producer,James L. Brooks
As Good as it Gets,Producer,Bridget Johnson
As Good as it Gets,Producer,Kristi Zea
The Frozen Ground,Director,Scott Walker
The Frozen Ground,Screenwriter,Scott Walker
The Frozen Ground,Producer,Mark Ordesky
The Frozen Ground,Producer,Jane Fleming
The Frozen Ground,Producer,Randall Emmett
The Frozen Ground,Producer,Curtis Jackson
The Frozen Ground,Producer,Remington Chase
The Frozen Ground,Producer,Jeff Rice
The Mexican,Director,Gore Verbinski
The Mexican,Screenwriter,J.H. Wyman
The Mexican,Producer,Lawrence Bender
The Mexican,Producer,John Baldecchi
Once in a Lifetime: the Extraordinary Story of the New York Cosmos,Director,Matt Dillon
Kicking and Screaming,Director,Jesse Dylan
Kicking and Screaming,Screenwriter,Leo Benvenuti
Kicking and Screaming,Screenwriter,Steve Rudnick
Kicking and Screaming,Producer,Jimmy Miller
Frankenstein,Director,Kenneth Branagh
Frankenstein,Producer,Francis Ford Coppola
Frankenstein,Producer,James V. Hart
Frankenstein,Producer,John Veitch
Frankenstein,Screenwriter,Steph Lady
Frankenstein,Screenwriter,Frank Darabont
L.A. Confidential,Director,Curtis Hanson
L.A. Confidential,Screenwriter,Brian Helgeland
L.A. Confidential,Screenwriter,Curtis Hanson
L.A. Confidential,Producer,Arnon Milchan
L.A. Confidential,Producer,Curtis Hanson
L.A. Confidential,Producer,Michael Nathanson
Because of Winn-Dixie,Director,Wayne Wang
I Want Someone To Eat Cheese With,Director,Jeff Garlin
From Hell,Director,Albert Hughes
From Hell,Director,Allen Hughes
From Hell,Screenwriter,Terry Hayes
From Hell,Screenwriter,Rafael Yglesias
From Hell,Producer,Don Murphy
From Hell,Producer,Jane Hamsher
Yogi Bear 3D,Director,Eric Brevig
Yogi Bear 3D,Screenwriter,Jeffrey Ventimilia
Yogi Bear 3D,Screenwriter,Joshua Sternin
Yogi Bear 3D,Screenwriter,Brad Copeland
Yogi Bear 3D,Producer,Donald De Line
Yogi Bear 3D,Producer,Karen Rosenfelt
Star Wars Ep. VI: Return of the Jedi,Director,Richard Marquand
Star Wars Ep. VI: Return of the Jedi,Producer,Howard Kazanjian
Star Wars Ep. VI: Return of the Jedi,Screenwriter,Lawrence Kasdan
Star Wars Ep. VI: Return of the Jedi,Screenwriter,George Lucas
Do the Right Thing,Director,Spike Lee
Do the Right Thing,Screenwriter,Spike Lee
Do the Right Thing,Producer,Spike Lee
Hansel & Gretel: Witch Hunters,Director,Tommy Wirkola
Hansel & Gretel: Witch Hunters,Screenwriter,Tommy Wirkola
Hansel & Gretel: Witch Hunters,Producer,Beau Flynn
Hansel & Gretel: Witch Hunters,Producer,Kevin Messick
Hansel & Gretel: Witch Hunters,Producer,Adam McKay
Hansel & Gretel: Witch Hunters,Producer,Will Ferrell
Treasure Planet,Director,John Musker
Treasure Planet,Director,Ron Clements
Treasure Planet,Screenwriter,Ron Clements
Treasure Planet,Screenwriter,John Musker
Treasure Planet,Screenwriter,Rob Edwards
Treasure Planet,Producer,Roy Conli
Treasure Planet,Producer,John Musker
Treasure Planet,Producer,Ron Clements
Fool's Gold,Director,Andy Tennant
Wild Wild West,Director,Barry Sonnenfeld
Wild Wild West,Screenwriter,S.S. Wilson
Wild Wild West,Screenwriter,Brent Maddock
Wild Wild West,Screenwriter,Jeffrey Price
Wild Wild West,Screenwriter,Peter S. Seaman
Wild Wild West,Producer,Jon Peters
Wild Wild West,Producer,Barry Sonnenfeld
The Wendell Baker Story,Director,Luke Wilson
The Chronicles of Riddick,Director,David Twohy
American Ninja 2: The Confrontation,Director,Sam Firstenberg
Scary Movie,Director,Keenen Ivory Wayans
Scary Movie,Screenwriter,Shawn Wayans
Scary Movie,Screenwriter,Marlon Wayans
Scary Movie,Screenwriter,Buddy Johnson
Scary Movie,Screenwriter,Phil Beauman
Scary Movie,Screenwriter,Jason Friedberg
Scary Movie,Screenwriter,Aaron Seltzer
Scary Movie,Producer,Eric L. Gold
Scary Movie,Producer,Lee R. Mayes
Friends with Benefits,Producer,Martin Shafer
Friends with Benefits,Producer,Liz Glotzer
Friends with Benefits,Producer,Jerry Zucker
Friends with Benefits,Producer,Janet Zucker
Friends with Benefits,Producer,Will Gluck
Friends with Benefits,Director,Will Gluck
Friends with Benefits,Screenwriter,Keith Merryman
Friends with Benefits,Screenwriter,David A. Newman
Friends with Benefits,Screenwriter,Will Gluck
The Maid's Room,Director,Michael Walker
The Maid's Room,Screenwriter,Michael Walker
The Maid's Room,Producer,Dolly Hall
Paranormal Activity 4,Director,Henry Joost
Paranormal Activity 4,Director,Ariel Schulman
Paranormal Activity 4,Screenwriter,Christopher Landon
Paranormal Activity 4,Producer,Jason Blum
Paranormal Activity 4,Producer,Oren Peli
Identity,Director,James Mangold
Identity,Producer,Cathy Konrad
Identity,Screenwriter,James Mangold
Identity,Screenwriter,Michael Cooney
The Transporter,Director,Louis Leterrier
The Transporter,Director,Corey Yuen
Charlie and the Chocolate Factory,Director,Tim Burton
Charlie and the Chocolate Factory,Producer,Brad Grey
Charlie and the Chocolate Factory,Producer,Richard D. Zanuck
Charlie and the Chocolate Factory,Screenwriter,John August
Platoon,Director,Oliver Stone
Platoon,Screenwriter,Oliver Stone
Platoon,Producer,Arnold Kopelson
Erin Brockovich,Director,Steven Soderbergh
Blade,Director,Stephen Norrington
Blade,Screenwriter,David S. Goyer
Blade,Producer,Peter Frankfurt
Blade,Producer,Wesley Snipes
Blade,Producer,Robert Engelman
A Nightmare On Elm Street 3: Dream Warriors,Director,Chuck Russell
The Best Man,Director,Malcolm D. Lee
"O Brother, Where Art Thou?",Director,Joel Coen
"O Brother, Where Art Thou?",Screenwriter,Ethan Coen
"O Brother, Where Art Thou?",Screenwriter,Joel Coen
"O Brother, Where Art Thou?",Producer,Ethan Coen
"I Love You, Beth Cooper",Director,Chris Columbus
The Thin Red Line,Director,Terrence Malick
The Thin Red Line,Screenwriter,Terrence Malick
The Thin Red Line,Producer,Robert Michael Geisler
The Thin Red Line,Producer,John Raberdeau
The Thin Red Line,Producer,Grant Hill
Not Easily Broken,Director,Bill Duke
Friday the 13th Part 3,Director,Steve Miner
The Man From Snowy River,Director,George Miller
The Greatest Story Ever Told,Director,George Stevens
The Greatest Story Ever Told,Director,David Lean
Just Married,Director,Shawn Levy
Just Married,Producer,Lauren Shuler Donner
Man of Steel,Director,Zack Snyder
Man of Steel,Producer,Charles Roven
Man of Steel,Producer,Christopher Nolan
Man of Steel,Producer,Emma Thomas
Man of Steel,Producer,Deborah Snyder
Man of Steel,Screenwriter,David Goyer
Paranormal Activity,Director,Oren Peli
Paranormal Activity,Screenwriter,Oren Peli
Paranormal Activity,Producer,Oren Peli
Paranormal Activity,Producer,Amir Sbeda
Paranormal Activity,Producer,Toni Taylor
American Outlaws,Director,Les Mayfield
The Kentucky Fried Movie,Director,John Landis
Star Trek: The Motion Picture,Director,Robert Wise
Dark Shadows,Director,Tim Burton
Dark Shadows,Screenwriter,Seth Grahame-Smith
Dark Shadows,Producer,Richard D. Zanuck
Dark Shadows,Producer,Graham King
Dark Shadows,Producer,Johnny Depp
Dark Shadows,Producer,Christi Dembrowski
Dark Shadows,Producer,David Kennedy
Danny the Dog,Producer,Pierre-Ange Le Pogam
Danny the Dog,Producer,Luc Besson
Danny the Dog,Director,Louis Leterrier
Danny the Dog,Screenwriter,Luc Besson
The Firm,Director,Sydney Pollack
The Firm,Producer,Scott Rudin
The Firm,Producer,John Davis
The Firm,Producer,Sydney Pollack
The Firm,Screenwriter,David Rabe
The Firm,Screenwriter,Robert Towne
The Firm,Screenwriter,David Rayfiel
About Time,Director,Richard Curtis
About Time,Screenwriter,Richard Curtis
About Time,Producer,Tim Bevan
About Time,Producer,Eric Fellner
About Time,Producer,Nicky Kentish-Barnes
Creepshow,Director,George A. Romero
Dance Flick,Director,Damien Wayans
The Amazing Spider-Man,Director,Marc Webb
The Amazing Spider-Man,Screenwriter,James Vanderbilt
The Amazing Spider-Man,Screenwriter,Alvin Sargent
The Amazing Spider-Man,Screenwriter,Steve Kloves
The Amazing Spider-Man,Producer,Laura Ziskin
The Amazing Spider-Man,Producer,Avi Arad
The Amazing Spider-Man,Producer,Matt Tolmach
The Tree of Life,Director,Terrence Malick
The Tree of Life,Screenwriter,Terrence Malick
The Tree of Life,Producer,Bill Pohlad
The Tree of Life,Producer,Sarah Green
The Tree of Life,Producer,Brad Pitt
The Tree of Life,Producer,Dede Gardner
The Tree of Life,Producer,Grant Hill
High Plains Drifter,Director,Clint Eastwood
Subway,Director,Luc Besson
Max Keeble's Big Move,Director,Tim Hill
End of Watch,Director,David Ayer
End of Watch,Screenwriter,David Ayer
End of Watch,Producer,John Lesher
End of Watch,Producer,David Ayer
End of Watch,Producer,Nigel Sinclair
End of Watch,Producer,Matt Jackson
Everything Must Go,Screenwriter,Dan Rush
Everything Must Go,Director,Dan Rush
Everything Must Go,Producer,Marty Bowen
Everything Must Go,Producer,Wyck Godfrey
The Newton Boys,Director,Richard Linklater
The Ballad of Cable Hogue,Director,Sam Peckinpah
Beastly,Producer,Susan Cartsonis
Beastly,Screenwriter,Daniel Barnz
Beastly,Director,Daniel Barnz
Valley of the Hearts Delight,Director,Tim Boxell
Drag Me To Hell,Director,Sam Raimi
Gravity,Director,Alfonso Cuarón
Gravity,Producer,Alfonso Cuarón
Gravity,Producer,David Heyman
Gravity,Screenwriter,Alfonso Cuarón
Gravity,Screenwriter,Jonas Cuaron
Iron Man,Director,Jon Favreau
Iron Man,Screenwriter,Mark Fergus
Iron Man,Screenwriter,Hawk Ostby
Iron Man,Screenwriter,Art Marcum
Iron Man,Screenwriter,Matt Holloway
Iron Man,Producer,Avi Arad
Iron Man,Producer,Kevin Feige
Aliens,Director,James Cameron
Aliens,Screenwriter,James Cameron
Henry & Me,Director,Barrett Esposito
Henry & Me,Screenwriter,David I. Stern
Henry & Me,Producer,Joseph Avallone
Henry & Me,Producer,Joe Castellano
Dracula 2000,Director,Patrick Lussier
Dracula 2000,Screenwriter,Joel Soisson
Dracula 2000,Producer,W.K. Border
Dracula 2000,Producer,Joel Soisson
Dogma,Director,Kevin Smith
Failure to Launch,Director,Tom Dey
Failure to Launch,Producer,Scott Rudin
Failure to Launch,Producer,Scott Aversano
Failure to Launch,Screenwriter,Tom J. Astle
Failure to Launch,Screenwriter,Matt Ember
Lemony Snicket's A Series of Unfortunate Events,Director,Brad Silberling
Lemony Snicket's A Series of Unfortunate Events,Screenwriter,Robert Gordon
Lemony Snicket's A Series of Unfortunate Events,Producer,Laurie MacDonald
Lemony Snicket's A Series of Unfortunate Events,Producer,Walter Parkes
Lemony Snicket's A Series of Unfortunate Events,Producer,Jim Van Wyck
Olympus Has Fallen,Director,Antoine Fuqua
Olympus Has Fallen,Screenwriter,Creighton Rothenberger
Olympus Has Fallen,Screenwriter,Katrin Benedikt
Olympus Has Fallen,Producer,Gerard Butler
Olympus Has Fallen,Producer,Alan Siegel
Olympus Has Fallen,Producer,Ed Cathell III
Olympus Has Fallen,Producer,Danny Lerner
The Corpse Bride,Director,Tim Burton
The Corpse Bride,Screenwriter,John August
The Corpse Bride,Screenwriter,Caroline Thompson
The Corpse Bride,Screenwriter,Pamela Pettler
The Corpse Bride,Producer,Tim Burton
The Corpse Bride,Producer,Allison Abbate
The Way Way Back,Director,Nat Faxon
The Way Way Back,Director,Jim Rash
The Way Way Back,Screenwriter,Nat Faxon
The Way Way Back,Screenwriter,Jim Rash
The Way Way Back,Producer,Kevin J. Walsh
The Way Way Back,Producer,Tom Rice
Barnyard: The Original Party Animals,Director,Steve Oedekerk
Anacondas: The Hunt for the Blood Orchid,Director,Dwight H. Little
Salt,Director,Phillip Noyce
Salt,Screenwriter,Kurt Wimmer
Salt,Producer,Lorenzo di Bonaventura
Salt,Producer,Sunil Perkash
The Hit List,Director,William Kaufman
Don Jon,Director,Joseph Gordon-Levitt
Don Jon,Screenwriter,Joseph Gordon-Levitt
Don Jon,Producer,Ram Bergman
Don Jon,Producer,Tucker Tooley
Random Hearts,Director,Sydney Pollack
Saw III,Director,Darren Lynn Bousman
G-Force,Director,Hoyt H. Yeatman
G-Force,Screenwriter,Cormac Wibberley
G-Force,Screenwriter,Marianne Wibberley
G-Force,Producer,Jerry Bruckheimer
Bruce Almighty,Director,Tom Shadyac
Bruce Almighty,Producer,Tom Shadyac
Bruce Almighty,Producer,Jim Carrey
Bruce Almighty,Producer,James D. Brubaker
Bruce Almighty,Producer,Michael Bostick
Bruce Almighty,Producer,Steve Koren
Bruce Almighty,Producer,Mark O Keefe
Bruce Almighty,Screenwriter,Steve Koren
Bruce Almighty,Screenwriter,Mark O Keefe
Bruce Almighty,Screenwriter,Steve Oedekerk
A Walk to Remember,Director,Adam Shankman
Beverly Hills Cop II,Director,Tony Scott
It Happened One Night,Director,Frank Capra
Lake Placid,Director,Steve Miner
Just My Luck,Director,Donald Petrie
The 6th Day,Director,Roger Spottiswoode
Coraline,Director,Henry Selick
Coraline,Screenwriter,Henry Selick
Coraline,Producer,Bill Mechanic
Coraline,Producer,Claire Jennings
Coraline,Producer,Henry Selick
Coraline,Producer,Mary Sandell
Superhero Movie,Director,Craig Mazin
Deliver Us from Evil,Director,Scott Derrickson
Deliver Us from Evil,Producer,Jerry Bruckheimer
Deliver Us from Evil,Screenwriter,Scott Derrickson
Deliver Us from Evil,Screenwriter,Paul Harris Boardman
Amores Perros,Director,Alejandro Gonzalez Inarritu
The Departed,Director,Martin Scorsese
The Departed,Screenwriter,William Monahan
The Departed,Producer,Brad Pitt
The Departed,Producer,Brad Grey
The Departed,Producer,Graham King
Space Jam,Director,Joe Pytka
Shrek 2,Producer,Aron Warner
Shrek 2,Producer,David Lipman
Shrek 2,Producer,John H. Williams
Shrek 2,Screenwriter,Andrew Adamson
Shrek 2,Screenwriter,Joe Stillman
Shrek 2,Screenwriter,J. David Stem
Shrek 2,Screenwriter,David N. Weiss
Shrek 2,Director,Andrew Adamson
Shrek 2,Director,Kelly Asbury
Shrek 2,Director,Conrad Vernon
The Messenger: The Story of Joan of Arc,Director,Luc Besson
The Kingdom,Director,Peter Berg
The Kingdom,Screenwriter,Matthew Michael Carnahan
The Kingdom,Producer,Michael Mann
The Kingdom,Producer,Scott Stuber
The Cotton Club,Director,Francis Ford Coppola
Gattaca,Director,Andrew Niccol
Charlie Bartlett,Director,Jon Poll
Charlie Bartlett,Screenwriter,Gustin Nash
Charlie Bartlett,Producer,David Permut
Charlie Bartlett,Producer,Barron Kidd
Charlie Bartlett,Producer,Jay Roach
Charlie Bartlett,Producer,Sidney Kimmel
The Evil Dead,Director,Sam Raimi
The Next Three Days,Producer,Michael Nozik
The Next Three Days,Producer,Paul Haggis
The Next Three Days,Producer,Olivier Delbosc
The Next Three Days,Producer,Marc Missonnier
The Next Three Days,Director,Paul Haggis
The Next Three Days,Screenwriter,Paul Haggis
The Cell,Director,Tarsem Singh
The Cell,Screenwriter,Mark Protosevich
The Cell,Producer,Julio Caro
The Cell,Producer,Eric McLeod
Psycho,Director,Gus Van Sant
Bucky Larson: Born to Be a Star,Director,Tom Brady
Bucky Larson: Born to Be a Star,Screenwriter,Adam Sandler
Bucky Larson: Born to Be a Star,Screenwriter,Nick Swardson
Bucky Larson: Born to Be a Star,Screenwriter,Allen Covert
Bucky Larson: Born to Be a Star,Producer,Adam Sandler
Bucky Larson: Born to Be a Star,Producer,Jack Giarraputo
Bucky Larson: Born to Be a Star,Producer,Allen Covert
Bucky Larson: Born to Be a Star,Producer,Nick Swardson
Bucky Larson: Born to Be a Star,Producer,David Dorfman
Dragonheart,Director,Rob Cohen
Robin Hood,Director,Ridley Scott
Robin Hood,Screenwriter,Brian Helgeland
Robin Hood,Producer,Brian Grazer
Robin Hood,Producer,Ridley Scott
Robin Hood,Producer,Russell Crowe
Fight Club,Director,David Fincher
Fight Club,Producer,Art Linson
Fight Club,Producer,Cean Chaffin
Fight Club,Producer,Ross Grayson Bell
Fight Club,Screenwriter,Jim Uhls
Gridiron Gang,Director,Phil Joanou
Jersey Boys,Director,Clint Eastwood
Jersey Boys,Producer,Clint Eastwood
Jersey Boys,Producer,Graham King
Jersey Boys,Producer,Robert Lorenz
Jersey Boys,Screenwriter,Marshall Brickman
Jersey Boys,Screenwriter,Rick Elice
Last Man Standing,Director,Walter Hill
Alex Cross,Director,Rob Cohen
Alex Cross,Screenwriter,Marc Moss
Alex Cross,Screenwriter,Kerry Williamson
Alex Cross,Producer,Bill Block
Alex Cross,Producer,Paul Hanson
Alex Cross,Producer,James Patterson
Alex Cross,Producer,Steve Bowen
Alex Cross,Producer,Randall Emmett
Alex Cross,Producer,Leopoldo Gout
The Simpsons Movie,Director,David Silverman
The Simpsons Movie,Producer,James L. Brooks
The Simpsons Movie,Producer,Matt Groening
The Simpsons Movie,Producer,Al Jean
The Simpsons Movie,Producer,Mike Scully
The Simpsons Movie,Producer,Richard Sakai
The Simpsons Movie,Screenwriter,James L. Brooks
The Simpsons Movie,Screenwriter,Matt Groening
The Simpsons Movie,Screenwriter,Al Jean
The Simpsons Movie,Screenwriter,Ian Maxstone-Graham
The Simpsons Movie,Screenwriter,George Meyer
The Simpsons Movie,Screenwriter,David Mirkin
The Simpsons Movie,Screenwriter,Mike Reiss
The Simpsons Movie,Screenwriter,Mike Scully
The Simpsons Movie,Screenwriter,Matt Selman
The Simpsons Movie,Screenwriter,John Swartzwelder
The Simpsons Movie,Screenwriter,Jon Vitti
16 to Life,Producer,Becky Smith
16 to Life,Producer,Denise Mann
16 to Life,Screenwriter,Becky Smith
16 to Life,Director,Becky Smith
Need for Speed,Director,Scott Waugh
Need for Speed,Screenwriter,George Gatins
Need for Speed,Producer,John Gatins
Need for Speed,Producer,Patrick O'Brien
Need for Speed,Producer,Mark Sourian
Fury,Director,David Ayer
Fury,Screenwriter,David Ayer
Speed II: Cruise Control,Director,Jan De Bont
Inside Man,Director,Spike Lee
Inside Man,Screenwriter,Russell Gewirtz
Inside Man,Producer,Brian Grazer
Ed Wood,Director,Tim Burton
Ed Wood,Producer,Tim Burton
Ed Wood,Producer,Denise Di Novi
Hope Springs,Director,David Frankel
Hope Springs,Screenwriter,Vanessa Taylor
Hope Springs,Producer,Todd Black
Hope Springs,Producer,Guymon Casady
Aquamarine,Director,Elizabeth Allen
The November Man,Director,Roger Donaldson
The November Man,Screenwriter,Michael Finch
The November Man,Screenwriter,Karl Gajdusek
The November Man,Producer,Beau St Pierre
The November Man,Producer,Sriram Das
The Tempest,Producer,Julie Taymor
The Tempest,Producer,Robert Chartoff
The Tempest,Producer,Lynn Hendee
The Tempest,Producer,Julia Taylor-Stanley
The Tempest,Producer,Jason K. Lau
The Tempest,Director,Julie Taymor
The Tempest,Screenwriter,Julie Taymor
The Virgin Suicides,Director,Sofia Coppola
Loving Annabelle,Director,Katherine Brooks
Not Another Teen Movie,Director,Joel Gallen
Not Another Teen Movie,Screenwriter,Michael Bender
Not Another Teen Movie,Screenwriter,Adam Jay Epstein
Not Another Teen Movie,Screenwriter,Andrew Jacobson
Not Another Teen Movie,Screenwriter,Phil Beauman
Not Another Teen Movie,Screenwriter,Buddy Johnson
Not Another Teen Movie,Producer,Neal H. Moritz
White Chicks,Director,Keenen Ivory Wayans
Speak No Evil,Director,Roze
Seabiscuit,Director,Gary Ross
Seabiscuit,Screenwriter,Gary Ross
Seabiscuit,Producer,Kathleen Kennedy
Seabiscuit,Producer,Frank Marshall
Seabiscuit,Producer,Gary Ross
Seabiscuit,Producer,Jane Sindell
Speed Racer,Director,Andy Wachowski
Speed Racer,Director,Lana Wachowski
Speed Racer,Screenwriter,Lana Wachowski
Speed Racer,Screenwriter,Andy Wachowski
Speed Racer,Producer,Joel Silver
Speed Racer,Producer,Grant Hill
Speed Racer,Producer,Andy Wachowski
Speed Racer,Producer,Lana Wachowski
Shooter,Director,Antoine Fuqua
Shooter,Screenwriter,Jonathan Lemkin
Shooter,Producer,Lorenzo di Bonaventura
Shooter,Producer,Ric Kidney
Ice Age,Director,Chris Wedge
Ice Age,Screenwriter,Michael Berg
Ice Age,Screenwriter,Michael J. Wilson
Ice Age,Screenwriter,Peter Ackerman
Ice Age,Producer,Lori Forte
The Devil Wears Prada,Director,David Frankel
The Devil Wears Prada,Screenwriter,Aline Brosh McKenna
The Devil Wears Prada,Producer,Wendy Fineman
Star Trek,Director,J.J. Abrams
Star Trek,Producer,J.J. Abrams
Star Trek,Producer,Damon Lindelof
Star Trek,Screenwriter,Roberto Orci
Star Trek,Screenwriter,Alex Kurtzman
Hanna,Director,Joe Wright
Hanna,Screenwriter,Seth Lochhead
Hanna,Screenwriter,David Farr
Hanna,Producer,Leslie Holleran
Hanna,Producer,Paul Adelstein
Hanna,Producer,Scott Nemes
Poolhall Junkies,Director,Mars Callahan
Warm Bodies,Director,Jonathan Levine
Warm Bodies,Screenwriter,Jonathan Levine
Warm Bodies,Producer,Todd Lieberman
Warm Bodies,Producer,David Hoberman
Warm Bodies,Producer,Bruna Papandrea
Michael Clayton,Director,Tony Gilroy
Michael Clayton,Screenwriter,Tony Gilroy
Michael Clayton,Producer,Sydney Pollack
Michael Clayton,Producer,Jennifer Fox
Michael Clayton,Producer,Steven Samuels
Michael Clayton,Producer,Kerry Orent
Rush,Director,Ron Howard
Rush,Screenwriter,Peter Morgan
Rush,Producer,Andrew Eaton
Rush,Producer,Eric Fellner
Rush,Producer,Brian Oliver
Rush,Producer,Peter Morgan
Rush,Producer,Brian Grazer
Rush,Producer,Ron Howard
All About Steve,Screenwriter,Kim Barker
All About Steve,Director,Phil Traill
Killing Them Softly,Director,Andrew Dominik
Killing Them Softly,Screenwriter,Andrew Dominik
Killing Them Softly,Producer,Brad Pitt
Killing Them Softly,Producer,Dede Gardner
Killing Them Softly,Producer,Steve Schwartz
Killing Them Softly,Producer,Paula Mae Schwartz
Killing Them Softly,Producer,Anthony Katagas
Solaris,Director,Steven Soderbergh
Tropic Thunder,Director,Ben Stiller
Tropic Thunder,Screenwriter,Justin Theroux
Tropic Thunder,Screenwriter,Ben Stiller
Tropic Thunder,Screenwriter,Etan Cohen
Tropic Thunder,Producer,Stuart Cornfeld
Tropic Thunder,Producer,Ben Stiller
Tropic Thunder,Producer,Eric McLeod
Be Cool,Director,F. Gary Gray
Disturbia,Director,D.J. Caruso
POM Wonderful Presents: The Greatest Movie Ever Sold,Director,Morgan Spurlock
POM Wonderful Presents: The Greatest Movie Ever Sold,Producer,Jeremy Chilnick
POM Wonderful Presents: The Greatest Movie Ever Sold,Producer,Abbie Hurewitz
POM Wonderful Presents: The Greatest Movie Ever Sold,Producer,Morgan Spurlock
POM Wonderful Presents: The Greatest Movie Ever Sold,Producer,Keith Calder
POM Wonderful Presents: The Greatest Movie Ever Sold,Producer,Jessica Wu
POM Wonderful Presents: The Greatest Movie Ever Sold,Screenwriter,Jeremy Chilnick
POM Wonderful Presents: The Greatest Movie Ever Sold,Screenwriter,Morgan Spurlock
42,Director,Brian Helgeland
42,Screenwriter,Brian Helgeland
42,Producer,Thomas Tull
Anna Karenina,Director,Joe Wright
Anna Karenina,Producer,Tim Bevan
Anna Karenina,Producer,Eric Fellner
Anna Karenina,Producer,Paul Webster
Anna Karenina,Screenwriter,Tom Stoppard
The Bucket List,Director,Rob Reiner
The Bucket List,Screenwriter,Justin Zackham
The Bucket List,Producer,Craig Zadan
The Bucket List,Producer,Neil Meron
The Bucket List,Producer,Alan Greisman
The Bucket List,Producer,Rob Reiner
Last I Heard,Director,David Rodriguez
Conan the Barbarian 3D,Director,Marcus Nispel
Conan the Barbarian 3D,Screenwriter,Thomas Dean Donnelly
Conan the Barbarian 3D,Screenwriter,Joshua Oppenheimer
Conan the Barbarian 3D,Screenwriter,Sean Hood
Conan the Barbarian 3D,Producer,Fredrik Malmberg
Conan the Barbarian 3D,Producer,Boaz Davidson
Conan the Barbarian 3D,Producer,Joe Gatta
Conan the Barbarian 3D,Producer,Danny Lerner
Conan the Barbarian 3D,Producer,John Baldecchi
Conan the Barbarian 3D,Producer,Les Weldon
Conan the Barbarian 3D,Producer,Henry Winterstern
Agent Cody Banks,Director,Harald Zwart
Agent Cody Banks,Screenwriter,Ashley Edward Miller
Agent Cody Banks,Screenwriter,Zack Stentz
Agent Cody Banks,Screenwriter,Scott Alexander
Agent Cody Banks,Screenwriter,Larry Karaszewski
Agent Cody Banks,Producer,Dylan Sellers
Agent Cody Banks,Producer,David Glasser
Agent Cody Banks,Producer,Andreas Klein
Agent Cody Banks,Producer,Guy Oseary
Agent Cody Banks,Producer,David Nicksay
Pinocchio,Director,Roberto Benigni
Charlie St. Cloud,Producer,Mark Platt
Charlie St. Cloud,Screenwriter,Craig Pearce
Charlie St. Cloud,Screenwriter,Lewis Colick
Charlie St. Cloud,Director,Burr Steers
Halloween 2,Director,Rob Zombie
Halloween 2,Screenwriter,Rob Zombie
The Deep End,Director,Scott McGehee
The Stepford Wives,Director,Frank Oz
Reds,Director,Warren Beatty
Cidade de Deus,Director,Katia Lund
Cidade de Deus,Director,Fernando Meirelles
The Box,Director,Richard Kelly
Hamlet 2,Director,Andrew Fleming
Blade 2,Director,Guillermo Del Toro
Blade 2,Producer,Peter Frankfurt
Blade 2,Producer,Wesley Snipes
Blade 2,Producer,Patrick Palmer
Freddy vs. Jason,Director,Ronny Yu
My Best Friend's Wedding,Director,P.J. Hogan
My Best Friend's Wedding,Screenwriter,Ronald Bass
My Best Friend's Wedding,Producer,Ronald Bass
My Best Friend's Wedding,Producer,Jerry Zucker
300: Rise of an Empire,Director,Noam Murro
300: Rise of an Empire,Producer,Gianni Nunnari
300: Rise of an Empire,Producer,Mark Canton
300: Rise of an Empire,Producer,Zack Snyder
300: Rise of an Empire,Producer,Deborah Snyder
300: Rise of an Empire,Producer,Bernie Goldmann
300: Rise of an Empire,Screenwriter,Zack Snyder
300: Rise of an Empire,Screenwriter,Kurt Johnstad
Yentl,Director,Barbra Streisand
Metallica Through the Never,Director,Nimrod Antal
Jingle All the Way,Director,Brian Levant
Stuck On You,Director,Bobby Farrelly
Stuck On You,Director,Peter Farrelly
Knowing,Director,Alex Proyas
Knowing,Screenwriter,Ryne Douglas Pearson
Knowing,Screenwriter,Juliet Snowden
Knowing,Screenwriter,Stiles White
Knowing,Producer,Todd Black
Knowing,Producer,Jason Blumenthal
Knowing,Producer,Steve Tisch
Knowing,Producer,Alex Proyas
Blindness,Director,Fernando Meirelles
The Next Best Thing,Director,John Schlesinger
Meet the Spartans,Director,Aaron Seltzer
Meet the Spartans,Director,Jason Friedberg
Cirque du Freak: The Vampire's Assistant,Director,Paul Weitz
Cirque du Freak: The Vampire's Assistant,Producer,Lauren Shuler Donner
The Ant Bully,Director,John A. Davis
The Pianist,Screenwriter,Ronald Harwood
The Pianist,Director,Roman Polanski
Big Daddy,Director,Dennis Dugan
Big Daddy,Screenwriter,Steve Franks
Big Daddy,Screenwriter,Tim Herlihy
Big Daddy,Screenwriter,Adam Sandler
Big Daddy,Producer,Sid Ganis
Big Daddy,Producer,Jack Giarraputo
Analyze That,Director,Harold Ramis
D.E.B.S.,Director,Angela Robinson
Basic,Director,John McTiernan
Basic,Screenwriter,James Vanderbilt
Basic,Producer,Mike Medavoy
Basic,Producer,Arnie Messer
Basic,Producer,James Vanderbilt
Basic,Producer,Michael Tadross
Chernobyl Diaries,Producer,Oren Peli
Chernobyl Diaries,Director,Brad Parker
How to Train Your Dragon 2,Director,Dean DeBlois
How to Train Your Dragon 2,Screenwriter,Dean DeBlois
How to Train Your Dragon 2,Producer,Bonnie Arnold
Brothers,Director,Jim Sheridan
The Notebook,Director,Nick Cassavetes
Oz the Great and Powerful,Director,Sam Raimi
