Movie Name,Critical Label,Critic Rating,Audience Label,Audience Rating
ET: The Extra-Terrestrial,Certified Fresh,98%,Upright,71%
Frenzy,Fresh,87%,Upright,78%
Meet the Spartans,Rotten,2%,Spilled,25%
Kangaroo Jack,Rotten,8%,Spilled,27%
Here Comes the Boom,Rotten,38%,Upright,66%
Volver,Certified Fresh,92%,Upright,89%
Ocean's Twelve,Rotten,55%,Upright,61%
How High,Rotten,27%,Upright,79%
Bully,Rotten,54%,Upright,69%
Tales from the Crypt: Demon Knight,Rotten,35%,Upright,65%
Hart's War,Fresh,60%,Spilled,48%
Journey from the Fall,Fresh,92%,Upright,88%
The Shipping News,Rotten,55%,Upright,62%
EDtv,Fresh,64%,Spilled,29%
My Fair Lady,Certified Fresh,95%,Upright,90%
King's Ransom,Rotten,2%,Spilled,31%
Zack and Miri Make a Porno,Fresh,65%,Upright,67%
Just Wright,Rotten,45%,Upright,61%
High Crimes,Rotten,31%,Spilled,51%
The Descent,Rotten,36%,Spilled,33%
The Prince & Me,Rotten,28%,Spilled,59%
Philadelphia,Certified Fresh,77%,Upright,89%
Fantasia 2000 (IMAX),Certified Fresh,82%,Upright,75%
Kansas City,Fresh,63%,Spilled,43%
Cloudy with a Chance of Meatballs,Certified Fresh,87%,Upright,71%
Resurrecting the Champ,Rotten,59%,Upright,60%
Angela's Ashes,Rotten,52%,Upright,82%
Born on the Fourth of July,Fresh,90%,Upright,76%
Just My Luck,Rotten,13%,Spilled,48%
Bee Movie,Rotten,51%,Spilled,53%
The Mummy,Rotten,55%,Upright,75%
The Mask,Certified Fresh,77%,Upright,67%
The Hangover Part II,Rotten,34%,Spilled,53%
Taxi Driver,Certified Fresh,98%,Upright,94%
10th & Wolf,Rotten,19%,Spilled,52%
Antwone Fisher,Certified Fresh,79%,Upright,86%
Mutual Appreciation,Certified Fresh,88%,Upright,71%
The Fighter,Certified Fresh,91%,Upright,89%
Eagle Eye,Rotten,26%,Upright,62%
Annie Get Your Gun,Fresh,100%,Upright,68%
The History Boys,Fresh,65%,Upright,70%
Lottery Ticket,Rotten,34%,Spilled,44%
Carlos,Certified Fresh,94%,Upright,85%
Once Upon a Time in America,Certified Fresh,89%,Upright,94%
Employee of the Month,Rotten,20%,Spilled,53%
Death Sentence,Rotten,20%,Upright,61%
Beverly Hills Cop III,Rotten,10%,Spilled,36%
I Am Sam,Rotten,34%,Upright,87%
Superstar,Rotten,32%,Upright,61%
The Claim,Fresh,62%,Spilled,50%
Mine Vaganti,Fresh,71%,Upright,74%
Jason Goes to Hell: The Final Friday,Rotten,25%,Spilled,26%
Without Limits,Fresh,79%,Upright,91%
Enter the Void,Fresh,72%,Upright,71%
"Definitely, Maybe",Certified Fresh,70%,Upright,71%
Diary of a Wimpy Kid: Rodrick Rules,Rotten,48%,Upright,62%
The Invention of Lying,Rotten,58%,Spilled,39%
See Spot Run,Rotten,23%,Spilled,44%
The Son of No One,Rotten,16%,Spilled,22%
This Thing of Ours,Rotten,40%,Spilled,28%
Legion,Rotten,20%,Spilled,31%
This is England,Certified Fresh,93%,Upright,90%
Unaccompanied Minors,Rotten,31%,Spilled,54%
2 Guns,Fresh,64%,Upright,67%
Big Daddy,Rotten,40%,Upright,75%
House of D,Rotten,10%,Upright,74%
Menace II Society,Fresh,85%,Upright,93%
Lincoln,Certified Fresh,90%,Upright,81%
Beneath Hill 60,Fresh,85%,Upright,76%
Changing Lanes,Certified Fresh,77%,Spilled,54%
Kindergarten Cop,Rotten,51%,Spilled,51%
Aroused,Rotten,25%,Spilled,35%
Butch Cassidy and the Sundance Kid,Certified Fresh,89%,Upright,93%
When The Cat's Away,Fresh,88%,Upright,76%
The Thing,Rotten,35%,Spilled,43%
Somewhere in Time,Rotten,59%,Upright,89%
Whatever Works,Rotten,49%,Upright,62%
Bubble Boy,Rotten,29%,Spilled,49%
Sabrina,Fresh,65%,Upright,64%
Copycat,Fresh,75%,Upright,64%
Men with Brooms,Rotten,59%,Upright,67%
The League of Extraordinary Gentlemen,Rotten,17%,Spilled,44%
First Blood,Fresh,87%,Upright,85%
Cry Wolf,Rotten,22%,Spilled,51%
"Dancer, Texas Pop. 81",Fresh,80%,Upright,73%
Spaceballs,Rotten,54%,Upright,83%
Deconstructing Harry,Fresh,71%,Upright,83%
The Perez Family,Fresh,63%,Spilled,58%
Hotel for Dogs,Rotten,45%,Spilled,55%
Love and Other Drugs,Rotten,49%,Spilled,53%
The Four Feathers,Rotten,41%,Upright,65%
The Night Listener,Rotten,40%,Spilled,35%
Red,Certified Fresh,71%,Upright,72%
The Ant Bully,Fresh,63%,Spilled,43%
Little Miss Sunshine,Certified Fresh,91%,Upright,91%
For Greater Glory,Rotten,18%,Upright,77%
Battleship,Rotten,34%,Spilled,55%
The Grudge 2,Rotten,10%,Spilled,41%
An Unfinished Life,Rotten,53%,Upright,68%
The Golden Child,Rotten,26%,Spilled,48%
Coach Carter,Fresh,65%,Upright,85%
First Daughter,Rotten,8%,Spilled,43%
Another Earth,Fresh,63%,Upright,66%
Bullet to the Head,Rotten,46%,Spilled,40%
Sunshine State,Certified Fresh,80%,Spilled,57%
Mr. Bean's Holiday,Rotten,50%,Spilled,49%
Boyhood,Certified Fresh,99%,Upright,90%
Land of the Lost,Rotten,26%,Spilled,32%
Leatherheads,Rotten,52%,Spilled,38%
The Living Daylights,Fresh,75%,Upright,65%
Anna and the King,Rotten,51%,Upright,64%
Dod sno,Fresh,66%,Spilled,56%
Two Lovers,Certified Fresh,82%,Spilled,58%
The Kids Are All Right,Certified Fresh,93%,Upright,73%
The Pelican Brief,Rotten,52%,Upright,61%
Repo Man,Certified Fresh,98%,Upright,79%
L.A. Confidential,Certified Fresh,99%,Upright,94%
Un Prophète,Certified Fresh,97%,Upright,89%
Baby Boy,Fresh,71%,Upright,88%
Brokeback Mountain,Certified Fresh,87%,Upright,82%
The Hunchback of Notre Dame,Fresh,73%,Upright,69%
The Cable Guy,Rotten,54%,Spilled,51%
Poultrygeist: Night of the Chicken Dead,Fresh,62%,Upright,66%
Alvin and the Chipmunks: The Squeakquel,Rotten,21%,Spilled,49%
Meet the Parents,Certified Fresh,84%,Upright,79%
Basic,Rotten,21%,Upright,64%
Life,Rotten,50%,Upright,78%
Nick and Norah's Infinite Playlist,Fresh,74%,Upright,65%
In the Valley of Elah,Fresh,73%,Upright,77%
Paranormal Activity 4,Rotten,24%,Spilled,35%
The Game Plan,Rotten,28%,Upright,70%
Contact,Fresh,63%,Upright,78%
The Wood,Fresh,61%,Upright,92%
Nicholas Nickleby,Certified Fresh,77%,Upright,75%
earth,Certified Fresh,87%,Upright,82%
A Man Apart,Rotten,11%,Upright,63%
Warriors of Virtue,Rotten,18%,Spilled,45%
Tiny Furniture,Certified Fresh,78%,Spilled,55%
The Secret of Kells,Certified Fresh,91%,Upright,85%
Stealing Harvard,Rotten,9%,Spilled,40%
Scooby-Doo,Rotten,30%,Spilled,37%
Goldfinger,Certified Fresh,96%,Upright,89%
Orphan,Rotten,55%,Upright,63%
The Roommate,Rotten,4%,Spilled,27%
The Brothers Solomon,Rotten,15%,Spilled,31%
Banlieue 13,Certified Fresh,80%,Upright,78%
Made of Honor,Rotten,14%,Spilled,55%
The Duchess,Fresh,61%,Upright,67%
The Tigger Movie,Fresh,62%,Upright,62%
Scary Movie 5,Rotten,4%,Spilled,40%
Whiteout,Rotten,7%,Spilled,21%
Limitless,Fresh,70%,Upright,74%
Dallas Buyers Club,Certified Fresh,93%,Upright,91%
Pollock,Certified Fresh,81%,Upright,74%
Stigmata,Rotten,22%,Upright,64%
Speed Racer,Rotten,39%,Upright,60%
W.,Rotten,59%,Spilled,42%
Mercy Streets,Rotten,13%,Upright,60%
The Sixth Sense,Certified Fresh,85%,Upright,89%
Being Julia,Certified Fresh,76%,Upright,74%
Darkness Falls,Rotten,9%,Spilled,34%
Pulse,Rotten,10%,Spilled,28%
The Big Lebowski,Certified Fresh,80%,Upright,94%
Doctor Zhivago,Fresh,85%,Upright,88%
Red Sonja,Rotten,18%,Spilled,29%
Raising Victor Vargas,Certified Fresh,96%,Upright,83%
Midnight Run,Certified Fresh,95%,Upright,87%
Slow Burn,Rotten,12%,Spilled,55%
Reign Over Me,Fresh,64%,Upright,82%
Pushing Tin,Rotten,48%,Spilled,42%
Live Free or Die Hard,Certified Fresh,82%,Upright,86%
The Lost Boys,Certified Fresh,75%,Upright,86%
The Golden Compass,Rotten,42%,Spilled,51%
Young Frankenstein,Certified Fresh,94%,Upright,93%
Valiant,Rotten,31%,Spilled,30%
Vamps,Rotten,50%,Spilled,33%
The Hobbit: An Unexpected Journey,Fresh,64%,Upright,83%
Lion of the Desert,Fresh,80%,Upright,94%
Fast Five,Certified Fresh,77%,Upright,82%
Miami Vice,Rotten,47%,Spilled,43%
The Rules of Attraction,Rotten,43%,Upright,71%
The House of Mirth,Certified Fresh,81%,Upright,72%
Killing Them Softly,Certified Fresh,75%,Spilled,44%
Inside Man,Certified Fresh,86%,Upright,85%
The Last House on the Left,Rotten,41%,Spilled,53%
Switchback,Rotten,32%,Spilled,47%
The Emperor's New Groove,Certified Fresh,85%,Upright,84%
Cabin Fever,Fresh,63%,Spilled,44%
Deliver Us from Evil,Rotten,27%,Spilled,46%
I Married a Strange Person,Fresh,70%,Upright,90%
Beyond the Sea,Rotten,42%,Upright,65%
Sleepover,Rotten,15%,Spilled,55%
Trade,Rotten,29%,Upright,74%
The Apartment,Certified Fresh,93%,Upright,94%
Vicky Cristina Barcelona,Certified Fresh,81%,Upright,74%
House of Wax,Rotten,25%,Spilled,42%
Monster House,Fresh,74%,Upright,63%
Thirteen,Certified Fresh,81%,Upright,77%
Topaz,Fresh,72%,Spilled,37%
The Salon,Rotten,12%,Upright,65%
The Talented Mr. Ripley,Certified Fresh,83%,Upright,80%
She's All That,Rotten,38%,Spilled,55%
The Abyss,Certified Fresh,88%,Upright,83%
Get Carter,Rotten,12%,Spilled,28%
Fateless,Certified Fresh,92%,Upright,83%
The Words,Rotten,22%,Spilled,50%
The Reef,Fresh,78%,Spilled,40%
Gods and Generals,Rotten,8%,Upright,64%
Gods and Monsters,Certified Fresh,96%,Upright,83%
Khumba,Rotten,44%,Spilled,46%
X-Men Origins: Wolverine,Rotten,38%,Spilled,59%
Dolphin Tale 2,Fresh,73%,Upright,82%
Beverly Hills Cop II,Rotten,46%,Spilled,58%
A History of Violence,Certified Fresh,87%,Upright,76%
Dirty Pretty Things,Certified Fresh,94%,Upright,82%
Conversations with Other Women,Fresh,74%,Upright,76%
Buffalo Soldiers,Fresh,73%,Upright,73%
Reno 911!: Miami,Rotten,35%,Spilled,51%
Harry Potter and the Order of the Phoenix,Certified Fresh,79%,Upright,81%
Warrior,Certified Fresh,83%,Upright,92%
Digimon: The Movie,Rotten,25%,Upright,65%
The Lord of the Rings: The Return of the King,Certified Fresh,94%,Upright,86%
The Men Who Stare at Goats,Rotten,51%,Spilled,39%
Where the Heart Is,Rotten,35%,Upright,77%
The Aviator,Certified Fresh,87%,Upright,79%
Romeo Must Die,Rotten,33%,Upright,61%
Brüno,Fresh,68%,Spilled,41%
Ghost Town,Certified Fresh,85%,Upright,60%
Mrs. Henderson Presents,Fresh,67%,Upright,72%
Freddy Got Fingered,Rotten,11%,Spilled,56%
The Italian Job,Fresh,73%,Upright,80%
Motherhood,Rotten,19%,Spilled,17%
Hoop Dreams,Certified Fresh,98%,Upright,93%
Kundun,Certified Fresh,76%,Upright,79%
Super Capers,Rotten,0%,Spilled,13%
See No Evil,Rotten,8%,Spilled,51%
Ordinary People,Fresh,92%,Upright,88%
Project X,Rotten,28%,Upright,61%
Diary of a Wimpy Kid: Dog Days,Rotten,51%,Upright,63%
Event Horizon,Rotten,24%,Upright,62%
Two Girls and a Guy,Rotten,52%,Spilled,42%
Dirty Work,Rotten,17%,Upright,67%
Mulholland Drive,Certified Fresh,81%,Upright,88%
2046,Certified Fresh,85%,Upright,85%
Death at a Funeral,Rotten,41%,Spilled,45%
A Civil Action,Certified Fresh,60%,Spilled,55%
North Country,Fresh,68%,Upright,76%
Hot Rod,Rotten,40%,Upright,64%
Unbreakable,Fresh,68%,Upright,77%
Dangerous Liaisons,Fresh,93%,Upright,83%
Enemy of the State,Fresh,71%,Upright,78%
White Noise,Rotten,8%,Spilled,31%
Waterworld,Rotten,43%,Spilled,43%
The Hole,Rotten,50%,Spilled,53%
Animal Kingdom,Certified Fresh,97%,Upright,83%
Entrapment,Rotten,38%,Spilled,51%
Witness,Fresh,91%,Upright,80%
The Right Stuff,Certified Fresh,98%,Upright,91%
Brick Mansions,Rotten,26%,Spilled,49%
The Loved Ones,Fresh,98%,Upright,74%
Ray,Certified Fresh,81%,Upright,87%
Casa de mi Padre,Rotten,43%,Spilled,36%
Hide and Seek,Rotten,13%,Spilled,50%
Frankenweenie,Certified Fresh,87%,Upright,70%
Prince of Persia: Sands of Time,Rotten,36%,Spilled,58%
The Savages,Certified Fresh,89%,Upright,74%
The Call,Certified Fresh,94%,Upright,85%
Radio Flyer,Rotten,32%,Upright,73%
Scary Movie 3,Rotten,36%,Spilled,55%
Octopussy,Rotten,42%,Spilled,48%
Sideways,Certified Fresh,96%,Upright,78%
Bad Boys,Rotten,43%,Upright,78%
Hav Plenty,Rotten,36%,Upright,84%
Deep Rising,Rotten,29%,Spilled,43%
White Fang,Fresh,63%,Upright,63%
Watchmen,Fresh,65%,Upright,70%
The Internship,Rotten,34%,Spilled,52%
Toy Story 3,Certified Fresh,99%,Upright,89%
Disaster Movie,Rotten,1%,Spilled,20%
Cliffhanger,Fresh,69%,Spilled,51%
Kiss of Death,Fresh,68%,Spilled,37%
Ghost Ship,Rotten,14%,Spilled,38%
Underworld: Evolution,Rotten,16%,Upright,72%
The Forbidden Kingdom,Fresh,64%,Upright,60%
The American,Fresh,66%,Spilled,38%
The Adventures of Pluto Nash,Rotten,5%,Spilled,16%
The Ring Two,Rotten,20%,Spilled,34%
Miss Potter,Certified Fresh,66%,Upright,68%
Annie Hall,Certified Fresh,98%,Upright,93%
3 Strikes,Rotten,0%,Upright,66%
Over Her Dead Body,Rotten,15%,Spilled,42%
"Bright Lights, Big City",Fresh,61%,Spilled,40%
Big Fat Liar,Rotten,42%,Spilled,44%
30 Minutes or Less,Rotten,45%,Spilled,41%
Hostel,Fresh,61%,Spilled,54%
Once Upon a Time in Mexico,Fresh,68%,Upright,64%
The Color of Money,Fresh,92%,Upright,73%
Mortal Kombat,Rotten,33%,Spilled,58%
"I, Frankenstein",Rotten,4%,Spilled,40%
Dave Chappelle's Block Party,Certified Fresh,92%,Upright,74%
Eulogy,Rotten,32%,Upright,72%
Sonny,Rotten,23%,Spilled,42%
Basic Instinct 2,Rotten,7%,Spilled,26%
Phone Booth,Fresh,71%,Upright,64%
Warlock,Rotten,53%,Spilled,47%
50-50,Certified Fresh,93%,Upright,88%
Maximum Risk,Rotten,28%,Spilled,36%
Timber Falls,Rotten,38%,Spilled,28%
The Swindle,Fresh,68%,Spilled,49%
The Marine,Rotten,20%,Upright,61%
All the Queen's Men,Rotten,7%,Spilled,50%
The Great Debaters,Certified Fresh,78%,Upright,86%
Holes,Certified Fresh,77%,Upright,76%
Deuce Bigalow: Male Gigolo,Rotten,23%,Spilled,43%
Scream 3,Rotten,36%,Spilled,38%
American Graffiti,Certified Fresh,95%,Upright,84%
Interview with the Assassin,Fresh,67%,Spilled,56%
Old Dogs,Rotten,5%,Spilled,44%
American Outlaws,Rotten,14%,Upright,69%
The Green Mile,Certified Fresh,80%,Upright,94%
Dawn of the Planet of the Apes,Certified Fresh,90%,Upright,91%
Madadayo,Fresh,87%,Upright,82%
Meek's Cutoff,Certified Fresh,85%,Spilled,54%
Movie 43,Rotten,4%,Spilled,24%
Dumb and Dumberer: When Harry Met Lloyd,Rotten,10%,Spilled,23%
My Name is Khan,Fresh,80%,Upright,82%
Knock Off,Rotten,8%,Spilled,25%
Jaws 2,Rotten,53%,Spilled,38%
The Frozen Ground,Rotten,58%,Spilled,50%
The Player,Certified Fresh,98%,Upright,84%
"War, Inc.",Rotten,30%,Spilled,38%
For Colored Girls,Rotten,32%,Upright,73%
Beautiful,Rotten,16%,Spilled,55%
Alice in Wonderland,Rotten,51%,Spilled,55%
Friday the 13th Part V: A New Beginning,Rotten,17%,Spilled,27%
Garden State,Certified Fresh,86%,Upright,88%
Aliens in the Attic,Rotten,31%,Spilled,43%
Pacific Rim,Fresh,72%,Upright,77%
The Terminal,Fresh,61%,Upright,74%
Van Helsing,Rotten,23%,Spilled,57%
Lars and the Real Girl,Certified Fresh,81%,Upright,84%
Elf,Certified Fresh,84%,Upright,78%
We're the Millers,Rotten,47%,Upright,72%
The Kentucky Fried Movie,Fresh,80%,Upright,68%
The Greatest Game Ever Played,Fresh,63%,Upright,83%
Love Stinks,Rotten,19%,Upright,64%
Hey Arnold! The Movie,Rotten,29%,Spilled,36%
A Night at the Roxbury,Rotten,11%,Upright,70%
Psycho,Rotten,37%,Spilled,29%
Body of Lies,Rotten,54%,Upright,62%
The Spanish Prisoner,Certified Fresh,88%,Upright,81%
Mad Hot Ballroom,Certified Fresh,84%,Upright,84%
Burlesque,Rotten,37%,Upright,64%
Bienvenue chez les Ch'tis,Fresh,71%,Upright,78%
Saints and Soldiers,Fresh,66%,Upright,79%
Mao's Last Dancer,Rotten,55%,Upright,77%
This Christmas,Rotten,55%,Upright,82%
Velvet Goldmine,Rotten,56%,Upright,81%
Willard,Fresh,64%,Spilled,51%
The Black Stallion,Fresh,86%,Upright,84%
Lemony Snicket's A Series of Unfortunate Events,Fresh,72%,Upright,63%
American Desi,Rotten,42%,Upright,73%
The Secret Life of Bees,Rotten,58%,Upright,78%
Crocodile Hunter: Collision Course,Rotten,53%,Spilled,43%
Braindead,Fresh,86%,Upright,87%
Bandidas,Fresh,62%,Spilled,43%
Weekend,Certified Fresh,95%,Upright,86%
Inside Job,Certified Fresh,98%,Upright,91%
The Fifth Element,Fresh,71%,Upright,87%
Cyrus,Certified Fresh,80%,Spilled,53%
Big Momma's House 2,Rotten,6%,Spilled,58%
Revolution#9,Fresh,76%,Spilled,56%
The Raven,Rotten,23%,Spilled,46%
Out of the Blue,Fresh,83%,Upright,82%
People Like Us,Rotten,55%,Upright,62%
Test,Fresh,89%,Upright,63%
Simply Irresistible,Rotten,13%,Spilled,55%
The Queen,Certified Fresh,97%,Upright,76%
The Square,Certified Fresh,86%,Upright,69%
Abduction,Rotten,4%,Spilled,42%
Half Baked,Rotten,29%,Upright,81%
Beyond the Valley of the Dolls,Fresh,68%,Upright,74%
Much Ado About Nothing,Certified Fresh,91%,Upright,87%
Sherlock Holmes,Fresh,70%,Upright,77%
Up in the Air,Certified Fresh,91%,Upright,79%
The Return,Certified Fresh,94%,Upright,86%
Boys and Girls,Rotten,11%,Spilled,51%
"Girl, Interrupted",Rotten,54%,Upright,84%
Remember Me,Rotten,27%,Upright,68%
This is the End,Certified Fresh,83%,Upright,72%
The Man in the Iron Mask,Rotten,33%,Spilled,56%
Casino Royale,Certified Fresh,95%,Upright,89%
Knockaround Guys,Rotten,20%,Spilled,52%
The Girl Next Door,Rotten,55%,Upright,70%
Stuart Little 2,Certified Fresh,81%,Spilled,40%
Legal Eagles,Rotten,47%,Spilled,33%
Click,Rotten,32%,Upright,67%
The Ladies Man,Rotten,11%,Spilled,43%
Freddy's Dead: The Final Nightmare,Rotten,20%,Spilled,34%
Fun With Dick And Jane,Rotten,29%,Spilled,50%
Cleopatra,Rotten,46%,Upright,70%
Les invasions barbares,Certified Fresh,81%,Upright,88%
Les Choristes,Fresh,68%,Upright,92%
The Ice Pirates,Rotten,11%,Spilled,49%
The Emperor's Club,Rotten,50%,Upright,68%
Clean,Fresh,72%,Upright,67%
Wolf,Fresh,61%,Spilled,42%
Town & Country,Rotten,13%,Spilled,15%
Scary Movie,Rotten,54%,Spilled,43%
Terminator 3: Rise of the Machines,Fresh,70%,Spilled,47%
Resident Evil,Rotten,33%,Upright,68%
The Bank Job,Certified Fresh,79%,Upright,74%
Nurse Betty,Certified Fresh,84%,Spilled,44%
Fair Game,Rotten,13%,Spilled,14%
"Remember Me, My Love",Rotten,55%,Upright,60%
The Happening,Rotten,17%,Spilled,24%
Wonderland,Rotten,34%,Upright,66%
Sheena,Rotten,38%,Spilled,34%
The Omega Code,Rotten,8%,Spilled,30%
Underworld: Awakening,Rotten,26%,Upright,62%
Hard Rain,Rotten,25%,Spilled,34%
The Illusionist,Certified Fresh,74%,Upright,83%
XXX: State of the Union,Rotten,16%,Spilled,33%
Wing Commander,Rotten,10%,Spilled,25%
Bridget Jones's Diary,Certified Fresh,81%,Upright,81%
Ca$h,Certified Fresh,86%,Upright,73%
Rock Star,Rotten,52%,Upright,60%
A Lonely Place to Die,Fresh,77%,Spilled,51%
1408,Certified Fresh,78%,Upright,61%
Clerks II,Fresh,63%,Upright,84%
Goal! The Dream Begins,Rotten,44%,Upright,78%
Stranger Than Fiction,Certified Fresh,72%,Upright,85%
The Deep End,Certified Fresh,82%,Spilled,59%
Diary of a Mad Black Woman,Rotten,16%,Upright,87%
Madea Goes To Jail,Rotten,30%,Upright,70%
BloodRayne,Rotten,4%,Spilled,16%
The Green Hornet,Rotten,43%,Spilled,43%
Australia,Rotten,55%,Upright,65%
Blue Valentine,Certified Fresh,87%,Upright,77%
End of the Spear,Rotten,40%,Upright,82%
The Rite,Rotten,21%,Spilled,41%
The R.M.,Certified Fresh,97%,Upright,82%
Teenage Mutant Ninja Turtles III,Rotten,21%,Spilled,34%
Northfork,Rotten,56%,Upright,66%
Crank 2: High Voltage,Fresh,63%,Spilled,49%
The Jungle Book 2,Rotten,19%,Spilled,30%
The Dress,Fresh,80%,Upright,70%
Superhero Movie,Rotten,16%,Spilled,32%
3 Backyards,Fresh,76%,Spilled,30%
Appaloosa,Certified Fresh,76%,Spilled,54%
Damsels in Distress,Certified Fresh,75%,Spilled,40%
White Squall,Fresh,62%,Upright,66%
The Age of Innocence,Certified Fresh,80%,Upright,76%
King Kong,Certified Fresh,84%,Spilled,50%
Undisputed,Rotten,48%,Spilled,47%
Couples Retreat,Rotten,11%,Spilled,40%
Promised Land,Rotten,52%,Spilled,46%
Stick It,Rotten,31%,Upright,73%
Bamboozled,Rotten,48%,Upright,74%
Tales from the Hood,Rotten,38%,Upright,69%
Duets,Rotten,20%,Spilled,48%
Remember the Titans,Fresh,73%,Upright,93%
Quinceanera,Certified Fresh,86%,Upright,71%
For Your Eyes Only,Fresh,73%,Upright,64%
Captain America: The Winter Soldier,Certified Fresh,89%,Upright,93%
Venus,Certified Fresh,89%,Upright,74%
Clerks,Certified Fresh,88%,Upright,89%
Space Chimps,Rotten,34%,Spilled,33%
Hairspray,Certified Fresh,91%,Upright,85%
Gloria,Rotten,17%,Spilled,32%
Down to Earth,Rotten,20%,Spilled,41%
The Lost Skeleton of Cadavra,Rotten,52%,Upright,85%
Club Dread,Rotten,29%,Spilled,44%
Mona Lisa Smile,Rotten,35%,Upright,60%
Godzilla 2000,Rotten,56%,Spilled,52%
The Social Network,Certified Fresh,96%,Upright,86%
The Pursuit of Happyness,Fresh,67%,Upright,87%
The Bridges of Madison County,Certified Fresh,89%,Upright,87%
Two Can Play That Game,Rotten,43%,Upright,84%
Fargo,Certified Fresh,94%,Upright,93%
Chain Reaction,Rotten,16%,Spilled,27%
Eye of the Beholder,Rotten,9%,Spilled,32%
High Fidelity,Certified Fresh,91%,Upright,90%
The Longest Yard,Rotten,31%,Upright,62%
How to Train Your Dragon 2,Certified Fresh,92%,Upright,92%
Into the Wild,Certified Fresh,82%,Upright,89%
Lethal Weapon 4,Rotten,52%,Upright,64%
Final Destination,Rotten,33%,Upright,69%
42,Certified Fresh,79%,Upright,86%
Snakes on a Plane,Fresh,68%,Spilled,50%
National Treasure,Rotten,44%,Upright,76%
Tank Girl,Rotten,38%,Upright,64%
Red Cliff,Certified Fresh,89%,Upright,78%
Real Women Have Curves,Certified Fresh,83%,Upright,75%
The Cotton Club,Fresh,75%,Spilled,55%
Monster's Ball,Certified Fresh,85%,Upright,67%
Step Brothers,Rotten,55%,Upright,68%
The Net,Rotten,36%,Spilled,44%
The Trials of Darryl Hunt,Fresh,100%,Upright,89%
Think Like a Man,Rotten,53%,Upright,80%
The Deep End of the Ocean,Rotten,44%,Spilled,59%
The Place Beyond the Pines,Certified Fresh,80%,Upright,75%
Robin Hood,Rotten,43%,Spilled,58%
Pirates of the Caribbean: At World's End,Rotten,45%,Upright,72%
Dante's Peak,Rotten,27%,Spilled,37%
Rat Race,Rotten,44%,Upright,64%
Think Like a Man Too,Rotten,25%,Upright,65%
Slumdog Millionaire,Certified Fresh,94%,Upright,90%
Ender's Game,Fresh,60%,Upright,67%
The Libertine,Rotten,33%,Spilled,59%
Center Stage,Rotten,43%,Upright,82%
Seven Psychopaths,Certified Fresh,83%,Upright,71%
Wu ji,Rotten,31%,Spilled,44%
Tears of the Sun,Rotten,33%,Upright,70%
Creepshow 2,Rotten,30%,Spilled,40%
Pokemon: The First Movie,Rotten,14%,Upright,62%
The Gatekeepers,Certified Fresh,93%,Upright,79%
Free Birds,Rotten,18%,Spilled,45%
Little Children,Certified Fresh,80%,Upright,82%
High Plains Drifter,Fresh,96%,Upright,86%
Freedom Writers,Fresh,69%,Upright,87%
Funny Ha Ha,Fresh,87%,Upright,63%
Friday the 13th Part 3,Rotten,13%,Spilled,44%
Alexander's Ragtime Band,Fresh,80%,Spilled,49%
Hansel & Gretel: Witch Hunters,Rotten,15%,Spilled,53%
In Dreams,Rotten,25%,Spilled,40%
Clear and Present Danger,Fresh,82%,Upright,74%
World's Greatest Dad,Certified Fresh,89%,Upright,66%
Southland Tales,Rotten,36%,Spilled,41%
Tyler Perry's A Madea Christmas,Rotten,19%,Upright,73%
It's Complicated,Rotten,57%,Upright,60%
Alvin and the Chipmunks,Rotten,27%,Upright,65%
Driven,Rotten,14%,Spilled,34%
Cop Out,Rotten,19%,Spilled,40%
Drop Dead Gorgeous,Rotten,45%,Upright,75%
Dance Flick,Rotten,18%,Spilled,30%
In the Name of the King: A Dungeon Siege Tale,Rotten,4%,Spilled,22%
The American President,Certified Fresh,90%,Upright,77%
The To Do List,Rotten,52%,Spilled,47%
Amores Perros,Certified Fresh,92%,Upright,94%
Ice Age,Certified Fresh,77%,Upright,82%
Message in a Bottle,Rotten,32%,Upright,67%
RED 2,Rotten,42%,Upright,63%
K-19: The Widowmaker,Fresh,60%,Spilled,52%
Hot Tub Time Machine,Fresh,63%,Spilled,56%
The Fourth Kind,Rotten,19%,Spilled,41%
Loaded Weapon 1,Rotten,13%,Spilled,50%
Hostel: Part II,Rotten,44%,Spilled,39%
The Missing,Rotten,58%,Spilled,51%
Men in Black,Certified Fresh,92%,Upright,79%
Transformers: Revenge of the Fallen,Rotten,19%,Spilled,58%
Cheri,Rotten,50%,Spilled,39%
Last Holiday,Rotten,54%,Upright,67%
Madison,Rotten,29%,Spilled,49%
Catch-22,Fresh,88%,Upright,76%
Monster,Certified Fresh,82%,Upright,81%
My Life in Ruins,Rotten,9%,Spilled,44%
The Good German,Rotten,33%,Spilled,34%
We Own the Night,Rotten,57%,Upright,61%
Georgia Rule,Rotten,17%,Spilled,52%
The Grey,Certified Fresh,79%,Upright,61%
Syriana,Certified Fresh,72%,Upright,68%
The Blood of Heroes,Rotten,13%,Upright,77%
A Nightmare on Elm Street 4: The Dream Master,Rotten,56%,Spilled,44%
The Way of the Gun,Rotten,48%,Upright,71%
Thumbsucker,Fresh,71%,Upright,71%
Public Enemies,Fresh,68%,Spilled,59%
The Terminator,Certified Fresh,100%,Upright,88%
The Informers,Rotten,13%,Spilled,17%
Benji,Fresh,86%,Spilled,55%
Caché,Certified Fresh,89%,Upright,78%
