Movie Name,Release Date,Genre,Budget,Gross,RT Critic Label,RT Critic Rating,RT Audience Label,RT Audience Rating,IMDB Rating,Directors,Producers,Sreenwriters,Actors
Oblivion, 2013/4/19,Thriller/Suspense,120000000.0,89107235.0,Rotten,54%,Upright,61%,7.0,Joseph Kosinski,Joseph Kosinski|Peter Chernin|Dylan Clark|Barry Levine|Duncan Henderson,Karl Gajdusek|Michael Debruyn,Tom Cruise|Morgan Freeman|Olga Kurylenko|Andrea Riseborough|Nikolaj Coster-Waldau
Novocaine, 2001/11/16,Comedy,6000000.0,2025238.0,Rotten,38%,Spilled,38%,5.8,David Atkins,Paul Mones|Daniel M. Rosenberg,David Atkins,Steve Martin|Helena Bonham Carter|Laura Dern|Elias Koteas|Scott Caan
The Libertine, 2005/11/23,Drama,22000000.0,4835065.0,Rotten,33%,Spilled,59%,6.4,Laurence Dunmore,Lianne Halfon|John Malkovich|Russell Smith,Stephen Jeffreys,Johnny Depp|Samantha Morton|John Malkovich|Paul Ritter|Stanley Townsend
Seven Pounds, 2008/12/19,Drama,54000000.0,69951824.0,Rotten,27%,Upright,75%,7.7,Gabriele Muccino,Todd Black|James Lassiter|Jason Blumenthal|Steve Tisch|Will Smith,Grant Nieporte,Will Smith|Rosario Dawson|Woody Harrelson|Michael Ealy|Barry Pepper
Out of the Furnace, 2013/12/4,Drama,22000000.0,11330849.0,Rotten,53%,Spilled,52%,6.8,Scott Cooper,Leonardo DiCaprio|Jennifer Kiloran|Ridley Scott|Tony Scott|Michael Costigan|Ryan Kavanaugh,Brad Ingelsby|Scott Cooper,Christian Bale|Woody Harrelson|Casey Affleck|Forest Whitaker|Willem Dafoe
The Wild, 2006/4/14,Adventure,80000000.0,37384046.0,Rotten,20%,Spilled,36%,5.4,Steve Williams,Clint Goldman|Beau Flynn,Ed Decter|John J. Strauss|Mark Gibson|Philip Halprin,Kiefer Sutherland|James Belushi|Eddie Izzard|Janeane Garofalo|William Shatner
Arthur, 2011/4/8,Comedy,40000000.0,33035397.0,Rotten,26%,Spilled,45%,5.8,Jason Winer,Larry Brezner|Kevin McCormick|Chris Bender|Michael Tadross,Peter Baynham,Russell Brand|Helen Mirren|Greta Gerwig|Jennifer Garner|Geraldine James
Into the Storm, 2014/8/8,Thriller/Suspense,50000000.0,45852117.0,Rotten,21%,Spilled,49%,6.3,Steven Quale,Todd Garner,John Swetnam,Richard Armitage|Sarah Wayne Callies|Matt Walsh|Max Deacon|Nathan Kress
The Lone Ranger, 2013/7/2,Western,275000000.0,89289910.0,Rotten,31%,Spilled,52%,6.5,Gore Verbinski,Jerry Bruckheimer|Gore Verbinski,Justin Haythe|Ted Elliott|Terry Rossio,Johnny Depp|Armie Hammer|William Fichtner|Tom Wilkinson|Ruth Wilson
Closer, 2004/12/3,Drama,35000000.0,33987757.0,Fresh,68%,Upright,81%,7.3,Mike Nichols,Mike Nichols|John Calley|Cary Brokaw,Patrick Marber,Julia Roberts|Jude Law|Natalie Portman|Clive Owen|Nick Hobbs
No Good Deed, 2014/9/12,Thriller/Suspense,13200000.0,24500000.0,Rotten,12%,Upright,71%,5.9,Sam Miller,Will Packer|Lee Clay,Aimee Lagos,Idris Elba|Taraji P. Henson|Leslie Bibb|Kate del Castillo|Henry Simmons
Bee Movie, 2007/11/2,Comedy,150000000.0,126631277.0,Rotten,51%,Spilled,53%,6.2,Steve Hickner,Jerry Seinfeld|Christina Steinberg,Jerry Seinfeld|Spike Feresten|Berry Marder|Andy Robin|Chuck Martin|Tom Papa,Jerry Seinfeld|Renée Zellweger|Matthew Broderick|Patrick Warburton|John Goodman
The Lego Movie, 2014/2/7,Adventure,60000000.0,257784718.0,Certified Fresh,95%,Upright,88%,7.9,Phil Lord|Christopher Miller,Dan Lin|Roy Lee,Phil Lord|Christopher Miller,Chris Pratt|Will Ferrell|Elizabeth Banks|Will Arnett|Nick Offerman
Kick-Ass, 2010/4/16,Black Comedy,28000000.0,48071303.0,Certified Fresh,76%,Upright,81%,7.8,Matthew Vaughn,Matthew Vaughn|Brad Pitt|Kris Thykier|Adam Bohling|Tarquin Pack|David Reid,Jane Goldman|Matthew Vaughn,Aaron Johnson|Christopher Mintz-Plasse|Chloë Grace Moretz|Mark Strong|Nicolas Cage
Tucker & Dale vs. Evil, 2011/9/30,Black Comedy,5000000.0,223838.0,Certified Fresh,84%,Upright,84%,7.6,Eli Craig,Morgan Jurgenson|Albert Klychak|Rosanne Milliken|Deepak Nayar,Eli Craig|Morgan Jurgenson,Tyler Labine|Alan Tudyk|Katrina Bowden|Jesse Moss|Brandon Jay McLaren
Skyfall, 2012/11/8,Action,200000000.0,304360277.0,Certified Fresh,92%,Upright,86%,7.8,Sam Mendes,Michael G. Wilson|Barbara Broccoli,Neal Purvis|Robert Wade|John Logan,Daniel Craig|Javier Bardem|Judi Dench|Naomie Harris|Albert Finney
Beasts of the Southern Wild, 2012/6/27,Drama,1800000.0,12795746.0,Certified Fresh,86%,Upright,76%,7.3,Behn Zeitlin,Dan Javey|Josh Penn|Michael Gottwald,Lucy Alibar|Behn Zeitlin,Quvenzhané Wallis|Dwight Henry|Levy Easterly|Lowell Landes|Pamela Harper
City of Angels, 1998/4/10,Drama,55000000.0,78750909.0,Rotten,58%,Upright,83%,6.7,Brad Silberling,Dawn Steel|Charles Roven,Dana Stevens,Nicolas Cage|Meg Ryan|Dennis Franz|Andre Braugher|Colm Feore
Les Miserables, 2012/12/25,Musical,65000000.0,148809770.0,Fresh,70%,Upright,79%,6.9,Tom Hooper,Tim Bevan|Eric Fellner|Debra Hayward|Cameron Mackintosh,William Nicholson|Alain Boublil|Claude-Michel Schönberg|Herbert Kretzmer,Hugh Jackman|Russell Crowe|Anne Hathaway|Amanda Seyfried|Sacha Baron Cohen
Righteous Kill, 2008/9/12,Thriller/Suspense,60000000.0,40081410.0,Rotten,19%,Spilled,38%,6.0,Jon Avnet,Daniel M. Rosenberg|Lati Grobman|Alexandra Milchan|Jon Avnet|Avi Lerner|Randall Emmett|Rob Cowan,Russell Gewirtz,"Robert De Niro|Al Pacino|Curtis ""50 Cent"" Jackson|Carla Gugino|Donnie Wahlberg"
In Good Company, 2004/12/29,Comedy,26000000.0,45489752.0,Certified Fresh,83%,Spilled,55%,6.5,Paul Weitz,Paul Weitz|Chris Weitz,Paul Weitz,Dennis Quaid|Topher Grace|Scarlett Johansson|Marg Helgenberger|David Paymer
Bridge to Terabithia, 2007/2/16,Drama,25000000.0,82234139.0,Certified Fresh,84%,Upright,70%,7.2,Gabor Csupo|Todd Michael Amateau,Hal Lieberman|Lauren Levine,Jeff Stockwell|David Patterson,Josh Hutcherson|AnnaSophia Robb|Zooey Deschanel|Robert Patrick|Bailee Madison
Walk Hard: The Dewey Cox Story, 2007/12/21,Comedy,35000000.0,18317151.0,Certified Fresh,75%,Spilled,57%,6.7,Jake Kasdan,Judd Apatow|Jake Kasdan|Clayton Townsend,Judd Apatow|Jake Kasdan,John C. Reilly|Jenna Fischer|Tim Meadows|Kristen Wiig|Raymond J. Barry
Batman Forever, 1995/6/16,Action,100000000.0,184031112.0,Rotten,41%,Spilled,33%,5.4,Joel Schumacher,Tim Burton|Peter MacGregor-Scott,Lee Batchler|Janet Scott Batchler|Akiva Goldsman,Val Kilmer|Tommy Lee Jones|Jim Carrey|Nicole Kidman|Chris O'Donnell
The Mechanic, 2011/1/28,Action,42500000.0,29121498.0,Rotten,53%,Spilled,51%,6.5,Simon West,David Winkler|Bill Chartoff|Rene Besson,Richard Wenk|Lewis John Carlino,Jason Statham|Ben Foster|Donald Sutherland|Mini Anden|Tony Goldwyn
Hook, 1991/12/11,Adventure,70000000.0,119654823.0,Rotten,30%,Upright,76%,6.6,Steven Spielberg,Gerald R. Molen|Kathleen Kennedy|Frank Marshall,Malia Scotch Marmo|Jim V. Hart,Dustin Hoffman|Robin Williams|Julia Roberts|Bob Hoskins|Don S. Davis
Journey 2: The Mysterious Island, 2012/2/10,Adventure,79000000.0,103860290.0,Rotten,42%,Spilled,59%,5.8,Bill Morrison,Beau Flynn|Tripp Vinson|Charlotte Huggins,Brian Gunn|Mark Gunn,Dwayne Johnson|Michael Caine|Josh Hutcherson|Luis Guzman|Vanessa Hudgens
Madagascar, 2005/5/27,Adventure,75000000.0,193595521.0,Rotten,55%,Upright,67%,6.9,Eric Darnell|Tom McGrath,Mireille Soria,Mark Burton|Billy Frolick|Eric Darnell|Tom McGrath,Ben Stiller|Chris Rock|David Schwimmer|Jada Pinkett Smith|Sacha Baron Cohen
LOL, 2012/5/4,Comedy,11000000.0,0.0,Rotten,17%,Spilled,51%,4.1,Lisa Azuelos,Michael Shamberg|Stacey Sher|Tish Cyrus,Lisa Azuelos|Kamir Ainouz,Miley Cyrus|Demi Moore|Ashley Greene|Douglas Booth|Adam G. Sevani
Ninja Assassin, 2009/11/25,Action,50000000.0,38122883.0,Rotten,26%,Spilled,54%,6.4,James McTeigue,Joel Silver|Andy Wachowski|Lana Wachowski|Grant Hill,Matthew Sand|J. Michael Straczynski,Naomie Harris|Rain Ji-hoon Jung|Collin Chou|Rick June|Ben Miles
The Blues Brothers, 1980/6/20,Musical,27000000.0,57229890.0,Certified Fresh,87%,Upright,93%,8.0,John Landis,Robert K. Weiss,Dan Aykroyd|John Landis,John Belushi|Dan Aykroyd|James Brown|Cab Calloway|Ray Charles
Eraser, 1996/6/21,Action,100000000.0,101295562.0,Rotten,36%,Spilled,39%,6.0,Chuck Russell,Arnold Kopelson|Anne Kopelson,Tony Puryear|Walon Green,Arnold Schwarzenegger|James Caan|Vanessa Williams|James Coburn|Robert Pastorelli
Inglourious Basterds, 2009/8/20,Action,70000000.0,120831050.0,Certified Fresh,88%,Upright,87%,8.3,Quentin Tarantino,Lawrence Bender,Quentin Tarantino,Brad Pitt|Melanie Laurent|Christoph Waltz|Eli Roth|Michael Fassbender
Argo, 2012/10/12,Thriller/Suspense,44500000.0,136025503.0,Certified Fresh,96%,Upright,90%,7.8,Ben Affleck,Grant Heslov|Ben Affleck|George Clooney,Chris Terrio,Ben Affleck|Alan Arkin|Bryan Cranston|John Goodman|Victor Garber
The Devil Wears Prada, 2006/6/30,Comedy,35000000.0,124740460.0,Certified Fresh,76%,Upright,76%,6.8,David Frankel,Wendy Fineman,Aline Brosh McKenna,Meryl Streep|Anne Hathaway|Stanley Tucci|Simon Baker|Gisele Bundchen
The Adjustment Bureau, 2011/3/4,Thriller/Suspense,50200000.0,62495645.0,Fresh,72%,Upright,67%,7.1,George Nolfi,Michael Hackett|George Nolfi|Bill Carraro|Chris B. Moore,George Nolfi,Matt Damon|Emily Blunt|Anthony Mackie|John Slattery|Michael Kelly
Fast & Furious, 2009/4/3,Action,85000000.0,155064265.0,Rotten,27%,Upright,68%,6.6,Justin Lin,Neal H. Moritz|Vin Diesel|Michael Fottrell,Chris Morgan,Vin Diesel|Paul Walker|Michelle Rodriguez|Jordana Brewster|John Ortiz
Blue Jasmine, 2013/7/26,Comedy,18000000.0,33404871.0,Certified Fresh,91%,Upright,77%,7.3,Woody Allen,Letty Aronson|Stephen Tenenbaum|Edward Walson,Woody Allen,Cate Blanchett|Alec Baldwin|Louis C.K.|Bobby Cannavale|Andrew Dice Clay
Casa de mi Padre, 2012/3/16,Comedy,6000000.0,5909483.0,Rotten,43%,Spilled,36%,5.5,Matt Piedmont,Will Ferrell|Adam McKay|Emilio Diez Barroso|Darlene Caamano Loquet|Andrew Steele,Andrew Steele,Will Ferrell|Gael Garcia Bernal|Diego Luna|Genesis Rodriguez|Efren Ramirez
The Sorcerer's Apprentice, 2010/7/14,Adventure,160000000.0,63150991.0,Rotten,41%,Spilled,53%,6.2,Jon Turteltaub,Jerry Bruckheimer,Matt Lopez|Doug Miro|Carlo Bernard,Alfred Molina|Jay Baruchel|Nicolas Cage|Teresa Palmer|Monica Bellucci
Four Christmases, 2008/11/26,Comedy,80000000.0,120146040.0,Rotten,25%,Spilled,48%,5.6,Seth Gordon,Roger Birnbaum|Gary Barber|Jonathan Glickman,Matt R. Allen|Caleb Wilson|Jon Lucas|Scott Moore,Reese Witherspoon|Vince Vaughn|Robert Duvall|Sissy Spacek|Kristin Chenoweth
Black Rock, 2013/5/17,Thriller/Suspense,1000000.0,0.0,Rotten,48%,Spilled,24%,4.7,Katie Aselton,Adele Romanski,Mark Duplass,Katie Aselton|Lake Bell|Kate Bosworth|Will Bouvier|Jay Paulson
Along Came Polly, 2004/1/16,Romantic Comedy,42000000.0,88073507.0,Rotten,26%,Spilled,47%,5.9,John Hamburg,Danny DeVito|Michael Shamberg|Stacey Sher,John Hamburg,Ben Stiller|Jennifer Aniston|Philip Seymour Hoffman|Debra Messing|Hank Azaria
The Aviator, 2004/12/17,Drama,110000000.0,102610330.0,Certified Fresh,87%,Upright,79%,7.5,Martin Scorsese,"Michael Mann|Sandy Climan|Graham King|Charles Evans, Jr.",John Logan,Leonardo DiCaprio|Cate Blanchett|Kate Beckinsale|John C. Reilly|Alec Baldwin
The Outsiders, 1983/3/25,Drama,10000000.0,25697647.0,Fresh,65%,Upright,83%,7.2,Francis Ford Coppola,Fred Roos|Gary Frederickson,Kathleen Knutsen Rowell,C. Thomas Howell|Matt Dillon|Ralph Macchio|Patrick Swayze|Rob Lowe
Bounce, 2000/11/17,Drama,35000000.0,36805288.0,Rotten,52%,Spilled,33%,5.7,Don Roos,Steve Golin|Michael Besman,Don Roos,Ben Affleck|Gwyneth Paltrow|Joe Morton|Natasha Henstridge|Tony Goldwyn
Delivery Man, 2013/11/22,Comedy,22000000.0,30659817.0,Rotten,38%,Spilled,48%,6.4,Ken Scott,Andre Rouleau,Ken Scott,Vince Vaughn|Chris Pratt|Cobie Smulders|Andrzej Blumenfeld|Simon Delaney
The Raven, 2012/4/27,Thriller/Suspense,26000000.0,16008272.0,Rotten,23%,Spilled,46%,6.4,James McTeigue,Aaron Ryder|Mark D Evans|Trevor Macy,Hannah Shakespeare|Ben Livingston,John Cusack|Luke Evans|Alice Eve|Brendan Gleeson|Kevin McNally
A Bug's Life, 1998/11/20,Adventure,45000000.0,162798565.0,Certified Fresh,92%,Upright,72%,7.2,John Lasseter,Darla Anderson|Kevin Reher,Andrew Stanton|Donald McEnery|Bob Shaw,Dave Foley|Kevin Spacey|Julia Louis-Dreyfus|Hayden Panettiere|Phyllis Diller
Men in Black 2, 2002/7/3,Action,140000000.0,190418803.0,Rotten,39%,Spilled,46%,6.0,Barry Sonnenfeld,Walter F. Parkes|Laurie MacDonald,Robert Gordon|Barry Fanaro,Tommy Lee Jones|Will Smith|Lara Flynn Boyle|Johnny Knoxville|Rosario Dawson
Men in Black 3, 2012/5/25,Adventure,215000000.0,179020854.0,Fresh,70%,Upright,71%,6.9,Barry Sonnenfeld,Walter F. Parkes|Laurie MacDonald,Etan Cohen,Will Smith|Tommy Lee Jones|Josh Brolin|Jermaine Clement|Emma Thompson
The Incredible Hulk, 2008/6/13,Adventure,137500000.0,134806913.0,Fresh,67%,Upright,72%,6.9,Louis Leterrier,Avi Arad|Gale Ann Hurd|Kevin Feige,Zak Penn,Edward Norton|Liv Tyler|Tim Roth|William Hurt|Tim Blake Nelson
Knowing, 2009/3/20,Thriller/Suspense,50000000.0,79957634.0,Rotten,33%,Spilled,42%,6.2,Alex Proyas,Todd Black|Jason Blumenthal|Steve Tisch|Alex Proyas,Ryne Douglas Pearson|Juliet Snowden|Stiles White,Nicolas Cage|Rose Byrne|Chandler Canterbury|Ben Mendelsohn|Lara Robinson
The Hundred-Foot Journey, 2014/8/8,Romantic Comedy,22000000.0,49408868.0,Fresh,67%,Upright,84%,7.5,Lasse Hallström,Steven Spielberg|Oprah Winfrey|Juliet Blake,Steven Knight,Helen Mirren|Om Puri|Manish Dayal|Charlotte Le Bon|Amit Shah
Fruitvale Station, 2013/7/12,Drama,900000.0,16098998.0,Certified Fresh,93%,Upright,87%,7.5,Ryan Coogler,Nina Yang Bongiovi|Forest Whitaker,Ryan Coogler,Michael B. Jordan|Melonie Diaz|Kevin Durand|Chad Michael Murray|Ahna O'Reilly
The Lincoln Lawyer, 2011/3/18,Thriller/Suspense,40000000.0,58009200.0,Certified Fresh,83%,Upright,81%,7.3,Brad Furman,Tom Rosenberg|Gary Lucchesi|Sidney Kimmel|Richard Wright|Scott Steindorff,John Romano,Matthew McConaughey|Ryan Phillippe|Marisa Tomei|William H. Macy|Josh Lucas
Paul, 2011/3/18,Comedy,40000000.0,37412945.0,Fresh,71%,Upright,61%,7.1,Greg Mottola,Nira Park|Tim Bevan|Eric Fellner,Simon Pegg|Nick Frost,Mia Stallard|Simon Pegg|Nick Frost|Jeremy Owen|Jeffrey Tambor
What Women Want, 2000/12/15,Romantic Comedy,65000000.0,182805123.0,Rotten,54%,Spilled,54%,6.4,Nancy Meyers,Nancy Meyers|Bruce Davey|Matt Williamson|Susan Cartsonis|Gina Matthews,Josh Goldsmith|Cathy Yuspa,Mel Gibson|Helen Hunt|Marisa Tomei|Mark Feuerstein|Lauren Holly
Paranormal Activity 3, 2011/10/21,Horror,5000000.0,104028807.0,Fresh,68%,Spilled,51%,5.9,Henry Joost|Ariel Schulman,Jason Blum|Oren Peli|Steven Schneider,Christopher Landon,Lauren Bittner|Chris Smith|Chloe Cserngey|Jessica Tyler Brown|Katie Featherston
Paranormal Activity 2, 2010/10/20,Horror,3000000.0,84752907.0,Rotten,58%,Spilled,49%,5.7,Tod Williams,Jason Blum|Oren Peli,Michael R. Perry|Christopher Landon|Tom Pabst,Katie Featherston|Micah Sloat|Brian Boland|Molly Ephraim|Sprague Grayden
Shanghai Noon, 2000/5/26,Western,55000000.0,56932305.0,Certified Fresh,79%,Upright,65%,6.6,Tom Dey,Roger Birnbaum|Gary Barber|Jonathan Glickman,Alfred Gough|Miles Millar,Jackie Chan|Owen Wilson|Lucy Alexis Liu|Brandon Merrill|Roger Yuan
Charlie St. Cloud, 2010/7/30,Drama,44000000.0,31206263.0,Rotten,27%,Upright,61%,6.4,Burr Steers,Mark Platt,Craig Pearce|Lewis Colick,Zac Efron|Charlie Tahan|Amanda Crew|Augustus Prew|Donal Logue
Double Take, 2001/1/12,Action,24000000.0,29823162.0,Rotten,12%,Spilled,50%,5.3,George Gallo,David Permut|Brett Ratner,George Gallo,Orlando Jones|Eddie Griffin|Edward Herrmann|Gary Grubbs|Shawn Elliott
The Hunger Games, 2012/3/23,Thriller/Suspense,80000000.0,408010692.0,Certified Fresh,84%,Upright,81%,7.3,Gary Ross,Nina Jacobson|Jon Kilik,Gary Ross|Suzanne Collins|Billy Ray,Jennifer Lawrence|Josh Hutcherson|Liam Hemsworth|Woody Harrelson|Elizabeth Banks
Live Free or Die Hard, 2007/6/27,Action,110000000.0,134529403.0,Certified Fresh,82%,Upright,86%,7.3,Len Wiseman,Michael Fottrell,Mark Bomback,Bruce Willis|Justin Long|Timothy Olyphant|Cliff Curtis|Maggie Q
Dredd, 2012/9/21,Action,45000000.0,13414714.0,Certified Fresh,78%,Upright,72%,7.0,Pete Travis,Andrew MacDonald|Allon Reich|Alex Garland,Alex Garland,Karl Urban|Olivia Thirlby|Lena Headey|Wood Harris|Langley Kirkwood
Agent Cody Banks, 2003/3/14,Comedy,25000000.0,47545060.0,Rotten,39%,Spilled,32%,5.0,Harald Zwart,Dylan Sellers|David Glasser|Andreas Klein|Guy Oseary|David Nicksay,Ashley Edward Miller|Zack Stentz|Scott Alexander|Larry Karaszewski,Frankie Muniz|Hilary Duff|Angie Harmon|Keith David|Cynthia Stevenson
How to Train Your Dragon, 2010/3/26,Adventure,165000000.0,217581231.0,Certified Fresh,98%,Upright,91%,8.2,Chris Sanders|Dean DeBlois,Bonnie Arnold,Chris Sanders|Dean DeBlois,Jay Baruchel|Gerard Butler|Craig Ferguson|America Ferrera|Jonah Hill
Fargo, 1996/3/8,Thriller/Suspense,7000000.0,24567751.0,Certified Fresh,94%,Upright,93%,8.2,Joel Coen,Ethan Coen,Ethan Coen|Joel Coen,William H. Macy|Steve Buscemi|Frances McDormand|Peter Stormare|Bruce Campbell
Space Cowboys, 2000/8/4,Adventure,65000000.0,90454043.0,Certified Fresh,78%,Spilled,52%,6.4,Clint Eastwood,Clint Eastwood|Andrew Lazar,Ken Kaufman|Howard Klausner,Clint Eastwood|Tommy Lee Jones|Donald Sutherland|James Garner|Marcia Gay Harden
Safe, 2012/4/27,Action,33000000.0,17142080.0,Rotten,57%,Spilled,59%,6.5,Boaz Yakin,Lawrence Bender|Dana Brunetti,Boaz Yakin,Jason Statham|Robert John Burke|Chris Sarandon|Anson Mount|James Hong
Days of Thunder, 1990/6/27,Action,60000000.0,82670733.0,Rotten,39%,Upright,61%,5.8,Tony Scott,Don Simpson|Jerry Bruckheimer,Robert Towne,Tom Cruise|Leilani Sarelle|Robert Duvall|Randy Quaid|Nicole Kidman
Prom, 2011/4/29,Comedy,8000000.0,10130219.0,Rotten,36%,Spilled,40%,5.3,Joe Nessbaum,Justin Springer|Ted Griffin|Samson Mucke,Katie Wech,Aimee Teegarden|Thomas McDonell|De'Vaughn Nixon|Danielle Campbell|Yin Chang
Jurassic Park, 1993/6/11,Action,63000000.0,395708305.0,Certified Fresh,93%,Upright,90%,8.0,Steven Spielberg,Kathleen Kennedy|Gerald R. Molen,Michael Crichton|David Koepp,Sam Neill|Laura Dern|Jeff Goldblum|Richard Attenborough|Bob Peck
Going the Distance, 2010/9/3,Romantic Comedy,32000000.0,17804299.0,Rotten,53%,Spilled,53%,6.4,Nanette Burstein,Adam Shankman|Jennifer Gibgot|Garrett Grant,Geoff LuTulippe,Drew Barrymore|Justin Long|Charlie Day|Jason Sudeikis|Christina Applegate
Taken 2, 2012/10/5,Thriller/Suspense,45000000.0,139854287.0,Rotten,21%,Spilled,53%,6.3,Olivier Megaton,Luc Besson,Luc Besson|Robert Mark Kamen,Liam Neeson|Maggie Grace|Famke Janssen|Leland Orser|Jon Gries
Ocean's Twelve, 2004/12/10,Adventure,110000000.0,125531634.0,Rotten,55%,Upright,61%,6.4,Steven Soderbergh,Jerry Weintraub,George Nofi,George Clooney|Brad Pitt|Matt Damon|Catherine Zeta-Jones|Don Cheadle
The Ugly Truth, 2009/7/24,Romantic Comedy,38000000.0,88915214.0,Rotten,13%,Upright,60%,6.5,Robert Luketic,Steven Reuther|Kimberly di Bonaventura|Deborah Jelin Newmyer|Tom Rosenberg|Gary Lucchesi,Nicole Eastman|Karen McCullah Lutz|Kirsten Smith,Katherine Heigl|Gerard Butler|Cheryl Hines|Eric Winter|John Michael Higgins
The Lord of the Rings: The Fellowship of the Ring, 2001/12/19,Adventure,109000000.0,315544750.0,Certified Fresh,91%,Upright,95%,8.8,Peter Jackson,Barrie M. Osborne|Peter Jackson|Fran Walsh|Tim Sanders,Fran Walsh|Philippa Boyens|Peter Jackson,Elijah Wood|Ian McKellen|Liv Tyler|Viggo Mortensen|Sean Astin
Home Alone, 1990/11/16,Comedy,15000000.0,285761243.0,Rotten,54%,Upright,79%,7.4,Chris Columbus,John Hughes,John Hughes,Macaulay Culkin|Joe Pesci|Daniel Stern|Catherine O'Hara|John Heard
Dark Water, 2005/7/8,Thriller/Suspense,60000000.0,25473093.0,Rotten,46%,Spilled,28%,5.5,Walter Salles,Bell Mechanic|Roy Lee|Doug Davison,Rafael Yglesias,Jennifer Connelly|John C. Reilly|Tim Roth|Dougray Scott|Pete Postlethwaite
An Everlasting Piece, 2000/12/22,Comedy,4000000.0,75078.0,Rotten,48%,Upright,78%,6.3,Barry Levinson,Mark Johnson|Louis DiGiaimo|Jerome O'Connor|Barry Levinson|Paula Weinstein,Barry McEvoy,Barry McEvoy|Brian F. O'Byrne|Anna Friel|Billy Connolly|Colum Convey
Hugo, 2011/11/23,Adventure,180000000.0,73864507.0,Certified Fresh,94%,Upright,78%,7.6,Martin Scorsese,Martin Scorsese|Graham King|Tim Headington|Johnny Depp,John Logan,Ben Kingsley|Sacha Baron Cohen|Asa Butterfield|Chloë Grace Moretz|Ray Winstone
The Fighter, 2010/12/10,Drama,11000000.0,93617009.0,Certified Fresh,91%,Upright,89%,7.9,David O. Russell,David Hoberman|Todd Lieberman|Ryan Kavanaugh|Mark Wahlberg|Paul Aufiero|Paul Tamasy,Scott Silvery|Paul Tamasy|Eric Johnson,Mark Wahlberg|Christian Bale|Amy Adams|Melissa Leo
Circumstance, 2011/8/26,Drama,900000.0,454121.0,Certified Fresh,86%,Upright,68%,5.9,Maryam Keshavarz,Maryam Keshavarz|Karin Chein|Melissa M. Lee,Maryam Keshavarz,Nikohl Boosheri|Sarah Kazemy|Reza Sixo Safai
About Time, 2013/11/1,Romantic Comedy,12000000.0,15323921.0,Fresh,69%,Upright,81%,7.8,Richard Curtis,Tim Bevan|Eric Fellner|Nicky Kentish-Barnes,Richard Curtis,Domhnall Gleeson|Rachel McAdams|Bill Nighy|Lydia Wilson|Lindsay Duncan
Close Encounters of the Third Kind, 1977/11/16,Adventure,20000000.0,166000000.0,Certified Fresh,96%,Upright,85%,7.7,Steven Spielberg,Julia Phillips|Michael Phillips,Steven Spielberg,Richard Dreyfuss|Teri Garr|Melinda Dillon|François Truffaut|Cary Guffey
The Counselor, 2013/10/25,Thriller/Suspense,25000000.0,16973715.0,Rotten,34%,Spilled,24%,5.4,Ridley Scott,Ridley Scott|Nick Wechsler|Steve Schwartz|Paula Mae Schwartz,Cormac McCarthy,Michael Fassbender|Penelope Cruz|Cameron Diaz|Javier Bardem|Brad Pitt
Made in Dagenham, 2010/11/19,Drama,8000000.0,1095369.0,Certified Fresh,80%,Upright,75%,7.2,Nigel Cole,Stephen Woolley|Elizabeth Karlsen,William Ivory,Sally Hawkins|Bob Hoskins|Miranda Richardson|Geraldine James|Rosamund Pike
Body of Lies, 2008/10/10,Thriller/Suspense,67500000.0,39394666.0,Rotten,54%,Upright,62%,7.1,Ridley Scott,Ridley Scott|Donald DeLine,William Monahan,Leonardo DiCaprio|Russell Crowe|Mark Strong|Golshifteh Farahani|Oscar Isaac
The Replacements, 2000/8/11,Comedy,50000000.0,44737059.0,Rotten,40%,Upright,67%,6.5,Howard Deutch,Dylan Sellers,Vince McKewin,Keanu Reeves|Gene Hackman|Orlando Jones|Jon Favreau|Brooke Langton
Cloud Atlas, 2012/10/26,Drama,102000000.0,27108272.0,Fresh,66%,Upright,66%,7.6,Lana Wachowski|Tom Tykwer|Andy Wachowski,Grant Hill|Stefan Arndt|Lana Wachowski|Tom Tykwer|Andy Wachowski,Lana Wachowski|Tom Tykwer|Andy Wachowski,Tom Hanks|Halle Berry|Jim Broadbent|Hugo Weaving|Jim Sturgess
A Very Harold & Kumar 3D Christmas, 2011/11/4,Comedy,20000000.0,35061031.0,Fresh,68%,Spilled,59%,6.3,Todd Strauss-Schulson,Greg Shapiro,Jon Hurwitz|Hayden Schlossberg,John Cho|Kal Penn|Neil Patrick Harris|Patton Oswalt|Isabella Gielniak
Safe House, 2012/2/10,Thriller/Suspense,85000000.0,126181630.0,Rotten,53%,Upright,64%,6.8,Daniel Espinosa,Scott Stuber,David Guggenheim,Denzel Washington|Ryan Reynolds|Vera Farmiga|Brendan Gleeson|Sam Shepard
Bridesmaids, 2011/5/13,Comedy,32500000.0,169106725.0,Certified Fresh,90%,Upright,76%,6.9,Paul Feig,Judd Apatow|Clayton Townsend|Barry Mendel,Annie Mumolo|Kristen Wiig,Kristen Wiig|Maya Rudolph|Rose Byrne|Wendi McLendon-Covey|Ellie Kemper
Summer of Sam, 1999/7/2,Drama,22000000.0,19288130.0,Rotten,50%,Upright,60%,6.6,Spike Lee,Spike Lee|Jon Kilik,Victor Colicchio|Michael Imperioli|Spike Lee,John Leguizamo|Adrien Brody|Mira Sorvino|Jennifer Esposito|Anthony LaPaglia
